StreamName, MaxE2E(us), Deadline(us), Path
Stream_1, 147.226, 3292.0, ES_1:Link_1:1->Switch_1:Link_52:7->Switch_2:Link_54:8->Switch_3:Link_56:8->Switch_4:Link_57:7->Switch_8:Link_40:5->ES_40
Stream_2, 59.071, 17132.0, ES_2:Link_2:1->Switch_1:Link_51:6->Switch_5:Link_22:2->ES_22
Stream_3, 95.6, 3084.0, ES_3:Link_3:1->Switch_1:Link_51:6->Switch_5:Link_59:8->Switch_6:Link_61:9->Switch_7:Link_34:4->ES_34
Stream_4, 156.488, 11323.0, ES_4:Link_4:1->Switch_1:Link_52:7->Switch_2:Link_54:8->Switch_3:Link_56:8->Switch_4:Link_19:4->ES_19
Stream_5, 92.175, 12323.0, ES_5:Link_5:1->Switch_1:Link_52:7->Switch_2:Link_53:7->Switch_6:Link_29:4->ES_29
Stream_6, 131.504, 4849.0, ES_6:Link_6:1->Switch_2:Link_54:8->Switch_3:Link_56:8->Switch_4:Link_20:5->ES_20
Stream_7, 67.94, 15761.0, ES_7:Link_7:1->Switch_2:Link_52:6->Switch_1:Link_2:2->ES_2
Stream_8, 90.744, 15323.0, ES_8:Link_8:1->Switch_2:Link_54:8->Switch_3:Link_55:7->Switch_7:Link_32:2->ES_32
Stream_9, 72.867, 5823.0, ES_9:Link_9:1->Switch_2:Link_53:7->Switch_6:Link_60:8->Switch_10:Link_50:5->ES_50
Stream_10, 59.434, 17171.0, ES_10:Link_10:1->Switch_2:Link_52:6->Switch_1:Link_1:1->ES_1
Stream_11, 119.461, 2909.0, ES_11:Link_11:1->Switch_3:Link_54:6->Switch_2:Link_52:6->Switch_1:Link_2:2->ES_2
Stream_12, 54.545, 2834.0, ES_12:Link_12:1->Switch_3:Link_55:7->Switch_7:Link_34:4->ES_34
Stream_13, 77.56, 5291.0, ES_13:Link_13:1->Switch_3:Link_54:6->Switch_2:Link_7:2->ES_7
Stream_14, 92.008, 11353.0, ES_14:Link_14:1->Switch_3:Link_54:6->Switch_2:Link_52:6->Switch_1:Link_1:1->ES_1
Stream_15, 77.217, 5232.0, ES_15:Link_15:1->Switch_3:Link_56:8->Switch_4:Link_19:4->ES_19
Stream_16, 133.484, 7666.0, ES_16:Link_16:1->Switch_4:Link_56:6->Switch_3:Link_54:6->Switch_2:Link_53:7->Switch_6:Link_60:8->Switch_10:Link_46:1->ES_46
Stream_17, 121.008, 11925.0, ES_17:Link_17:1->Switch_4:Link_56:6->Switch_3:Link_54:6->Switch_2:Link_52:6->Switch_1:Link_51:6->Switch_5:Link_22:2->ES_22
Stream_18, 190.39, 4989.0, ES_18:Link_18:1->Switch_4:Link_56:6->Switch_3:Link_54:6->Switch_2:Link_52:6->Switch_1:Link_51:6->Switch_5:Link_24:4->ES_24
Stream_19, 26.888, 8614.0, ES_19:Link_19:1->Switch_4:Link_20:5->ES_20
Stream_20, 91.438, 4893.0, ES_20:Link_20:1->Switch_4:Link_56:6->Switch_3:Link_55:7->Switch_7:Link_32:2->ES_32
Stream_21, 41.712, 18952.0, ES_21:Link_21:1->Switch_5:Link_58:7->Switch_9:Link_42:2->ES_42
Stream_22, 171.984, 8615.0, ES_22:Link_22:1->Switch_5:Link_51:6->Switch_1:Link_52:7->Switch_2:Link_54:8->Switch_3:Link_56:8->Switch_4:Link_16:1->ES_16
Stream_23, 76.064, 2073.0, ES_23:Link_23:1->Switch_5:Link_51:6->Switch_1:Link_52:7->Switch_2:Link_9:4->ES_9
Stream_24, 51.232, 14080.0, ES_24:Link_24:1->Switch_5:Link_58:7->Switch_9:Link_41:1->ES_41
Stream_25, 39.801, 11037.0, ES_25:Link_25:1->Switch_5:Link_24:4->ES_24
Stream_26, 41.797, 16644.0, ES_26:Link_26:1->Switch_6:Link_60:8->Switch_10:Link_47:2->ES_47
Stream_27, 20.112, 2702.0, ES_27:Link_27:1->Switch_6:Link_30:5->ES_30
Stream_28, 59.238, 1015.0, ES_28:Link_28:1->Switch_6:Link_61:9->Switch_7:Link_32:2->ES_32
Stream_29, 68.437, 16579.0, ES_29:Link_29:1->Switch_6:Link_59:7->Switch_5:Link_23:3->ES_23
Stream_30, 109.698, 15751.0, ES_30:Link_30:1->Switch_6:Link_53:6->Switch_2:Link_54:8->Switch_3:Link_12:2->ES_12
Stream_31, 104.962, 10040.0, ES_31:Link_31:1->Switch_7:Link_55:6->Switch_3:Link_56:8->Switch_4:Link_16:1->ES_16
Stream_32, 117.155, 9645.0, ES_32:Link_32:1->Switch_7:Link_61:7->Switch_6:Link_59:7->Switch_5:Link_23:3->ES_23
Stream_33, 65.311, 5023.0, ES_33:Link_33:1->Switch_7:Link_61:7->Switch_6:Link_27:2->ES_27
Stream_34, 53.072, 18692.0, ES_34:Link_34:1->Switch_7:Link_55:6->Switch_3:Link_12:2->ES_12
Stream_35, 91.958, 17741.0, ES_35:Link_35:1->Switch_7:Link_61:7->Switch_6:Link_53:6->Switch_2:Link_7:2->ES_7
Stream_36, 87.648, 6462.0, ES_36:Link_36:1->Switch_8:Link_57:6->Switch_4:Link_56:6->Switch_3:Link_54:6->Switch_2:Link_7:2->ES_7
Stream_37, 131.011, 1345.0, ES_37:Link_37:1->Switch_8:Link_62:7->Switch_7:Link_61:7->Switch_6:Link_59:7->Switch_5:Link_24:4->ES_24
Stream_38, 130.531, 3682.0, ES_38:Link_38:1->Switch_8:Link_62:7->Switch_7:Link_61:7->Switch_6:Link_59:7->Switch_5:Link_24:4->ES_24
Stream_39, 85.912, 18307.0, ES_39:Link_39:1->Switch_8:Link_62:7->Switch_7:Link_61:7->Switch_6:Link_59:7->Switch_5:Link_21:1->ES_21
Stream_40, 22.896, 9112.0, ES_40:Link_40:1->Switch_8:Link_36:1->ES_36
Stream_41, 73.584, 8121.0, ES_41:Link_41:1->Switch_9:Link_58:6->Switch_5:Link_51:6->Switch_1:Link_3:3->ES_3
Stream_42, 22.736, 17277.0, ES_42:Link_42:1->Switch_9:Link_43:3->ES_43
Stream_43, 59.94, 2226.0, ES_43:Link_43:1->Switch_9:Link_58:6->Switch_5:Link_22:2->ES_22
