Source,Destination,Path
node0_0_1_0,node0_0_1_1,node0_0_1_0->e4->2-sw_0_1->e5->3-node0_0_1_1
node0_0_1_0,node0_0_2_0,node0_0_1_0->e4->2-sw_0_1->e1->0-sw_0_2->e6->2-node0_0_2_0
node0_0_1_0,node0_0_2_1,node0_0_1_0->e4->2-sw_0_1->e1->0-sw_0_2->e7->3-node0_0_2_1
node0_0_1_0,node0_0_3_0,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
node0_0_1_0,node0_0_3_1,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
node0_0_1_1,node0_0_1_0,node0_0_1_1->e5->3-sw_0_1->e4->2-node0_0_1_0
node0_0_1_1,node0_0_2_0,node0_0_1_1->e5->3-sw_0_1->e1->0-sw_0_2->e6->2-node0_0_2_0
node0_0_1_1,node0_0_2_1,node0_0_1_1->e5->3-sw_0_1->e1->0-sw_0_2->e7->3-node0_0_2_1
node0_0_1_1,node0_0_3_0,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
node0_0_1_1,node0_0_3_1,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
node0_0_2_0,node0_0_1_0,node0_0_2_0->e6->2-sw_0_2->e1->0-sw_0_1->e4->2-node0_0_1_0
node0_0_2_0,node0_0_1_1,node0_0_2_0->e6->2-sw_0_2->e1->0-sw_0_1->e5->3-node0_0_1_1
node0_0_2_0,node0_0_2_1,node0_0_2_0->e6->2-sw_0_2->e7->3-node0_0_2_1
node0_0_2_0,node0_0_3_0,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
node0_0_2_0,node0_0_3_1,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
node0_0_2_1,node0_0_1_0,node0_0_2_1->e7->3-sw_0_2->e1->0-sw_0_1->e4->2-node0_0_1_0
node0_0_2_1,node0_0_1_1,node0_0_2_1->e7->3-sw_0_2->e1->0-sw_0_1->e5->3-node0_0_1_1
node0_0_2_1,node0_0_2_0,node0_0_2_1->e7->3-sw_0_2->e6->2-node0_0_2_0
node0_0_2_1,node0_0_3_0,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
node0_0_2_1,node0_0_3_1,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
node0_0_3_0,node0_0_1_0,node0_0_3_0->e8->2-sw_0_3->e2->1-sw_0_1->e4->2-node0_0_1_0
node0_0_3_0,node0_0_1_1,node0_0_3_0->e8->2-sw_0_3->e2->1-sw_0_1->e5->3-node0_0_1_1
node0_0_3_0,node0_0_2_0,node0_0_3_0->e8->2-sw_0_3->e3->1-sw_0_2->e6->2-node0_0_2_0
node0_0_3_0,node0_0_2_1,node0_0_3_0->e8->2-sw_0_3->e3->1-sw_0_2->e7->3-node0_0_2_1
node0_0_3_0,node0_0_3_1,node0_0_3_0->e8->2-sw_0_3->e9->3-node0_0_3_1
node0_0_3_1,node0_0_1_0,node0_0_3_1->e9->3-sw_0_3->e2->1-sw_0_1->e4->2-node0_0_1_0
node0_0_3_1,node0_0_1_1,node0_0_3_1->e9->3-sw_0_3->e2->1-sw_0_1->e5->3-node0_0_1_1
node0_0_3_1,node0_0_2_0,node0_0_3_1->e9->3-sw_0_3->e3->1-sw_0_2->e6->2-node0_0_2_0
node0_0_3_1,node0_0_2_1,node0_0_3_1->e9->3-sw_0_3->e3->1-sw_0_2->e7->3-node0_0_2_1
node0_0_3_1,node0_0_3_0,node0_0_3_1->e9->3-sw_0_3->e8->2-node0_0_3_0
